Compound_Name,CAS_Number,SMILES,Predicted_pT,Predicted_ODT_mg_L
Di-sec-butyl disulfide,5943-30-6,CCC(C)SSC(C)CC,6.81,0.00015494
6-(Methylthio)hexyl isothiocyanate,4430-39-1,CSCCCCCCN=C=S,6.82,0.00015037
p-1-Menthene-8-thiol,71159-90-5,CC1=CCC(CC1)C(C)(C)S,6.86,0.00013893
"3-Methyl-1,2,4-trithiane",43040-01-3,CC1SCCSS1,6.86,0.00013776
2-Ethyl-1-hexanethiol,7341-17-5,CCCCC(CC)CS,6.93,0.00011702
"2,4,5-Trithiaoctane",911212-28-7,CCCSSCSC,6.96,0.00010946
"3,5-Undecadien-2-one",68973-20-6,CCCCCC=CC=CC(=O)C,6.98,0.00010472
(+/-)2-Mercapto-2-methyl-1-pentanol,258823-39-1,CCCC(C)(CO)S,7.01,0.00009818
"(Z,Z)-4,7-Tridecadienal",13552-95-9,CCCCCC=CCC=CCCC=O,7.01,0.00009789
Ethyl 2-methyl-3-pentenoate,1617-23-8,CCOC(=O)C(C)C=CC,7.07,0.00008446
3-(Allyldithio)-2-butanone,1838169-65-5,CC(C(=O)C)SSCC=C,7.09,0.00008221
Allyl methyl disulfide,2179-58-0,CSSCC=C,7.11,0.00007771
Methyl pentyl disulfide,72437-68-4,CCCCCSSC,7.14,0.00007162
Dipropyl trisulfide,6028-61-1,CCCSSSCCC,7.18,0.00006619
Isopentyl methyl disulfide,72437-56-0,CC(C)CCSSC,7.19,0.00006512
Butyl propyl disulfide,72437-64-0,CCCCSSCCC,7.19,0.00006500
Methyl propyl trisulfide,17619-36-2,CCCSSSC,7.22,0.00005971
"(E,Z,Z)-2,4,7-Tridecatrienal",13552-96-0,CCCCCC=CCC=CC=CC=O,7.23,0.00005856
3-Nonen-2-one,14309-57-0,CCCCCC=CC(=O)C,7.27,0.00005340
Ethyl propyl trisulfide,31499-70-4,CCCSSSCC,7.28,0.00005211
Methyl 2-methylpentanoate,2177-77-7,CCCC(C)C(=O)OC,7.31,0.00004849
Dipropyl disulfide,629-19-6,CCCSSCCC,7.36,0.00004356
Diethyl trisulfide,3600-24-6,CCSSSCC,7.37,0.00004283
Butyl ethyl disulfide,63986-03-8,CCCCSSCC,7.37,0.00004277
Ethyl methyl trisulfide,31499-71-5,CCSSSC,7.38,0.00004205
Methyl propyl disulfide,2179-60-4,CCCSSC,7.39,0.00004078
Ethyl 5-Norbornene-2-carboxylate,10138-32-6,CCOC(=O)C1CC2CC1C=C2,7.46,0.00003456
2-Isobutyl-3-methoxypyrazine,24683-00-9,C(C)(C)CC1=NC=CN=C1OC,7.51,0.00003098
Allyl methyl trisulfide,34135-85-8,CSSSCC=C,7.53,0.00002925
3-Mercapto-3-methylbutyl acetate,50746-09-3,CC(=O)OCCC(C)(C)S,7.55,0.00002826
Ethyl propyl disulfide,30453-31-7,CCCSSCC,7.56,0.00002767
Allyl propyl disulfide,2179-59-1,CCCSSCC=C,7.65,0.00002235
2-(sec-Butyl)-3-methoxypyrazine,24168-70-5,C(C)(CC)C1=NC=CN=C1OC,7.65,0.00002223
(E)-4-Nonenal,2277-16-9,CCCCC=CCCC=O,7.82,0.00001514
5-Mercapto-5-methyl-3-hexanone,851768-51-9,CCC(=O)CC(C)(C)S,7.96,0.00001102
(S)-1-Methoxy-3-heptanethiol,400052-49-5,CCCCC(CCOC)S,7.96,0.00001099
Methyl cyclohexanecarboxylate,4630-82-4,COC(=O)C1CCCCC1,8.28,0.00000522
