Compound_Name,CAS_Number,SMILES,Dataset_Role,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
Hydrogen cyanide,74-90-8,C#N,Benchmark,6.5,6.5,3.5,3.5,0.369797018,1,27.026,26.018,27.01089903,10,0.046163383,-0.201967245,0.201967245,0.046163383,1.5,1.5,1.5,14.16196892,11.85603108,0.512627946,-0.668431808,0.585779028,-0.568999028,4.032459046,1.580540954,1,3,6.754887502,2,1.024563865,1.024563865,1,0.25819889,0.25819889,0,0,0,0,0,0,-0.51,2,1.49,0.49,-4.470784314,13.13183071,0,0,0,0,0,0,0,5.261891555,0,0,0,0,6.57213689,0,0,0,5.261891555,0,0,0,0,0,6.57213689,0,0,0,0,0,0,11.83402844,0,0,0,0,23.79,0,0,0,0,0,0,0,0,6.57213689,5.261891555,0,0,0,6.5,0,0,0,0,3.5,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.13978,6.67
Tetrachloroethene,127-18-4,C(=C(Cl)Cl)(Cl)Cl,Benchmark,4.99382716,4.99382716,0.098765432,-0.098765432,0.517976402,8,165.834,165.834,163.8754107,36,0.136441793,-0.068220897,0.136441793,0.068220897,0.666666667,0.833333333,0.833333333,35.5437959,11.22151756,1.875927939,-1.754816994,2.195521962,-1.474710379,6.672996404,2.25152185,1.360964047,3.675948765,55.61727061,5.154700538,2.511857892,5.535573676,2.64273441,1.005928946,2.517786838,0.520821616,2.419607705,0.142857143,1.285714286,0,0,0.9,13.60964047,6.9,2.975404327,3.104081633,55.62765502,0,8.982936348,0,0,0,0,0,0,0,0,46.40375956,0,0,0,0,46.40375956,0,0,0,0,0,8.982936348,0,0,0,0,46.40375956,0,0,0,0,8.982936348,0,0,0,0,0,8.982936348,0,0,0,0,0,0,46.40375956,-0.197530864,19.97530864,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3.0682,30.438
Trichloroethene,79-01-6,C(=C(Cl)Cl)Cl,Benchmark,4.956790123,4.956790123,0.089506173,0.089506173,0.473775059,7,131.389,130.381,129.9143831,30,0.117603187,-0.090359084,0.117603187,0.090359084,1.4,1.6,1.6,35.53934101,11.24175916,1.701334818,-1.639883105,2.054266229,-1.333974586,6.578145153,2.362563119,1.378783493,3.143197306,42.85475297,4.28445705,2.211243688,4.479030526,2.27005561,0.884857498,2.077222224,0.398755407,1.624837649,0.08247861,0.742307489,0,0,0.61,9.651484454,5.61,2.82691974,4.61,45.32438879,0,4.491468174,0,0,0,0,0,0,0,0,34.80281967,0,5.535201929,0,0,34.80281967,0,0,0,0,0,10.0266701,0,0,0,0,34.80281967,0,0,0,0,10.0266701,0,0,0,0,0,4.491468174,0,5.535201929,0,0,0,0,34.80281967,0.089506173,14.82407407,0,0,1.086419753,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.5017,25.642
"1,1-Dichloroethene",156-60-5,C(=CCl)Cl,Benchmark,4.87345679,4.87345679,1.237654321,1.237654321,0.432798364,9.5,96.944,94.928,95.95335542,24,0.015563326,-0.092004176,0.092004176,0.015563326,1,1.25,1.25,35.49798623,11.26263538,1.396350184,-1.435136854,1.781028365,-1.10764253,6.32910709,2.50749317,1.370950594,2.549193338,19.21928095,3.414213562,1.910629484,3.422487376,1.914213562,0.769769114,1.642640675,0.251976315,0.755928946,0.047619048,0.428571429,0,0,0.32,6.854752972,4.32,3.32,2.32,35.02112256,0,0,0,0,0,0,0,0,0,0,23.20187978,0,11.07040386,0,0,23.20187978,0,0,0,0,0,11.07040386,0,0,0,0,23.20187978,0,0,0,0,11.07040386,0,0,0,0,0,0,0,0,11.07040386,0,0,0,23.20187978,0,9.74691358,0,0,2.475308642,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.9352,20.846
Tribromomethane,75-25-2,C(Br)(Br)Br,Benchmark,3.104166667,3.104166667,0.270833333,0.270833333,0.58127781,9,252.731,251.723,249.7628363,26,0.124221039,-0.063716905,0.124221039,0.063716905,1,1,1,79.95015716,11.96684284,1.765796166,-1.703292032,2.131510844,-1.489010844,9.380183235,2.279816765,0.811278124,2.323790008,8,3.577350269,1.711243688,6.469233306,1.732050808,0.654653671,3.401680257,0.24743583,6.680767401,0,0,0,0,1.44,3.245112498,5.44,2.665225225,9.876728395,50.34189384,0,2.645710119,0,0,0,0,0,0,0,0,47.78983169,0,0,0,0,47.78983169,0,0,0,2.645710119,0,0,0,0,0,0,47.78983169,2.645710119,0,0,0,0,0,0,0,0,0,2.645710119,0,0,0,0,0,47.78983169,0,0.270833333,9.3125,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.4547,30.569
Dibromoiodomethane,593-94-2,C(Br)(Br)I,Benchmark,3.174166667,3.174166667,0.428333333,0.428333333,0.476156854,9,299.731,298.723,297.7489722,26,0.120665208,-0.064713736,0.120665208,0.064713736,1.5,1.5,1.5,126.9127071,11.97285851,1.764641958,-1.704185755,2.140330912,-1.484335572,14.11102803,2.341759296,0.811278124,2.323790008,10.7548875,3.577350269,1.711243688,7.040735058,1.732050808,0.654653671,3.731636947,0.24743583,7.976811552,0,0,0,0,1.69,3.245112498,5.69,2.903219616,9.348835475,55.73618436,0,1.743172874,0,0,0,0,0,0,0,0,54.45075842,0,0,0,0,54.45075842,0,0,0,1.743172874,0,0,0,0,0,0,54.45075842,1.743172874,0,0,0,0,0,0,0,0,0,0,1.743172874,0,0,0,0,54.45075842,0,0.428333333,8.525,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.4948,35.662
Bromodiiodomethane,557-95-9,C(Br)(I)I,Benchmark,3.244166667,3.244166667,0.585833333,0.585833333,0.466969095,9,346.731,345.723,345.7351081,26,0.117112608,-0.065709153,0.117112608,0.065709153,1.5,1.5,1.5,126.9224087,11.97887594,1.763489138,-1.705078421,2.14898864,-1.479629433,14.1984087,2.405529009,0.811278124,2.323790008,10.7548875,3.577350269,1.711243688,7.61223681,1.732050808,0.654653671,4.061593638,0.24743583,9.46142653,0,0,0,0,1.94,3.245112498,5.94,3.14242915,9.048725688,61.13047488,0,0.840635629,0,0,0,0,0,0,0,0,61.11168515,0,0,0,0,61.11168515,0,0,0,0.840635629,0,0,0,0,0,0,61.11168515,0.840635629,0,0,0,0,0,0,0,0,0,0,0.840635629,0,0,0,0,61.11168515,0,0.585833333,7.7375,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.5349,40.755
"1,2-Dichlorooxoethane",79-04-9,C(C(=O)Cl)Cl,Benchmark,9.445987654,9.445987654,0.095679012,-0.507716049,0.36566659,7.6,112.943,110.927,111.94827,30,0.235925632,-0.279958086,0.279958086,0.235925632,1.8,2,2,35.49858691,10.92002429,1.83012855,-1.654291703,1.797552246,-1.808658112,6.673737741,-0.109084746,1.378783493,2.847378923,42.91260938,4.28445705,2.371284018,3.88314191,2.27005561,1.013921014,1.926407971,0.488750484,1.177576318,0.1050621,0.618232063,0,0,0.25,9.651484454,5.25,2.485294118,4.25,39.8722477,0,0,0,5.242426768,0,0,4.794537184,0,0,11.60093989,0,11.60093989,0,5.880003445,4.794537184,28.44430655,0,0,0,0,5.880003445,0,0,0,0,0,23.20187978,11.12243021,4.794537184,0,0,0,0,0,17.07,5.242426768,4.794537184,5.880003445,0,0,0,0,0,0,23.20187978,0,9.546296296,9.445987654,-0.507716049,0,-0.095679012,0,0,0,0,0.5,5,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0.9906,21.58
Hexachloroethane,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Benchmark,5.144290123,5.144290123,1.849537037,-1.849537037,0.562581613,14.25,236.74,236.74,233.8131161,50,0.236391438,-0.078797146,0.236391438,0.078797146,0.5,0.625,0.625,35.59112605,10.88910869,2.434713325,-2.185477928,2.479209452,-2.23071812,6.828470317,1.100837767,1.253297578,4.020391543,61.509775,7,3.267786838,7.803360514,3.25,1.383893419,3.651680257,0.995518138,5.557982986,0.321428571,2.892857143,0,0,1.74,21.30605883,9.74,2.773447112,3.04826129,76.9237905,0,0,0,7.585071871,0,0,0,0,0,0,69.60563934,0,0,0,0,69.60563934,0,0,0,7.585071871,0,0,0,0,0,0,69.60563934,7.585071871,0,0,0,0,0,0,0,7.585071871,0,0,0,0,0,0,0,0,69.60563934,-3.699074074,30.86574074,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3.7268,40.58
"1,5-Pentanedial",111-30-8,C(CC=O)CC=O,Benchmark,9.56375,9.56375,0.512638889,0.512638889,0.381710195,8,100.117,92.053,100.0524295,40,0.119503548,-0.303402688,0.303402688,0.119503548,1,1.428571429,1.714285714,16.13074052,10.26463462,1.795170095,-1.782243241,1.851915143,-1.759368829,5.524471199,-0.108403201,1.690933806,2.679549207,51.10049401,5.535533906,4.092517463,4.092517463,3.414213562,2.287901102,2.287901102,1.264236993,1.264236993,0.643950551,0.643950551,0.284517797,0.284517797,-0.66,35.50960993,6.34,5.34,5.34,42.52206369,9.589074368,12.57232105,0,0,0,0,0,0,0,0,0,6.420821623,12.84164325,0,9.589074368,12.57232105,0,0,0,19.26246487,0,0,0,0,0,0,0,12.57232105,9.589074368,0,19.26246487,0,0,0,34.14,0,9.589074368,0,19.26246487,12.57232105,0,0,0,0,0,0,0,19.1275,0,0,0,0,3.3725,0,0,0.6,7,0,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0.5545,25.979
"1,2-Dichloroethane",107-06-2,C(CCl)Cl,Benchmark,5.054012346,5.054012346,0.557098765,0.557098765,0.436304237,7.5,98.96,94.928,97.96900549,26,0.035889203,-0.125423431,0.125423431,0.035889203,1,1.25,1.25,35.49855802,10.97023492,1.612704084,-1.62851733,1.745902115,-1.633333202,6.254551774,1.522488761,1.370950594,1.974744871,6,3.414213562,2.170142508,3.6820004,1.914213562,1.034522484,2.103567451,0.377964473,1.133893419,0.071428571,0.642857143,0,0,0.58,6.854752972,4.58,3.58,2.58,35.7107256,0,0,0,0,0,0,0,0,0,23.20187978,0,0,11.76000689,0,0,23.20187978,0,0,0,0,11.76000689,0,0,0,0,0,23.20187978,11.76000689,0,0,0,0,0,0,0,0,0,0,11.76000689,0,0,0,0,0,23.20187978,0,10.10802469,0,0,0,1.114197531,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.464,21.44
"1,5-Pentanediamine",462-94-2,C(CCN)CCN,Benchmark,5.228472222,5.228472222,0.805555556,0.805555556,0.493574934,9.428571429,102.181,88.069,102.1156984,44,-0.007726732,-0.330473497,0.330473497,0.007726732,0.714285714,1.142857143,1.428571429,14.52804325,10.2301012,1.797541676,-1.90691052,1.878417688,-2.015476378,4.405648268,0.694790635,1.690933806,2.447472888,25.26112493,5.535533906,4.690234444,4.690234444,3.414213562,2.816496581,2.816496581,1.638010441,1.638010441,0.90824829,0.90824829,0.46545183,0.46545183,-0.08,35.50960993,6.92,5.92,5.92,44.87880088,11.46733495,0,0,0,0,0,0,0,0,0,6.420821623,25.93115606,0,0,0,0,0,0,11.46733495,19.26246487,13.08951281,0,0,11.46733495,0,0,0,13.08951281,0,0,19.26246487,0,0,0,52.04,0,0,0,0,25.93115606,6.420821623,0,0,0,11.46733495,0,0,0,0,10.45694444,0,0,3.431944444,1.611111111,0,1,7,4,2,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0.0741,31.9598
"1,4-Butanediamine",110-60-1,C(CCN)CN,Benchmark,5.159027778,5.159027778,0.775,0.775,0.464598963,9,88.154,76.058,88.10004838,38,-0.00768043,-0.330472669,0.330472669,0.00768043,0.833333333,1.166666667,1.333333333,14.54317193,10.31202456,1.748758439,-1.866287199,1.767324744,-2.034687889,4.376846616,0.755028164,1.614330835,2.339092315,17.509775,4.828427125,3.983127663,3.983127663,2.914213562,2.316496581,2.316496581,1.28445705,1.28445705,0.65824829,0.65824829,0.288675135,0.288675135,-0.08,20.98630086,5.92,4.92,3.92,38.51385877,11.46733495,0,0,0,0,0,0,0,0,0,0,25.93115606,0,0,0,0,0,0,11.46733495,12.84164325,13.08951281,0,0,11.46733495,0,0,0,13.08951281,0,0,12.84164325,0,0,0,52.04,0,0,0,0,25.93115606,0,0,0,0,11.46733495,0,0,0,0,10.31805556,0,0,2.131944444,1.55,0,1,6,4,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,-0.316,27.3428
"N-(3-Aminopropyl)-1,4-butanediamine",124-20-9,C(CCNCCCN)CN,Benchmark,5.32164155,5.32164155,0.781635802,0.781635802,0.429543725,10.2,145.25,126.098,145.1578976,62,-0.003689862,-0.330472668,0.330472668,0.003689862,0.8,1.4,2,14.84431494,10.28635675,1.850466124,-2.007224001,1.813842393,-2.194137202,4.485407336,0.610617814,1.967154472,2.647604849,48.81290899,7.656854249,6.604448007,6.604448007,4.914213562,4.023603362,4.023603362,2.388010441,2.388010441,1.365355072,1.365355072,0.74639964,0.74639964,-0.12,175.076748,9.88,8.88,7.88,63.15854729,16.78412356,0,0,0,0,0,0,0,0,0,0,45.44149049,0,0,0,0,0,5.316788604,11.46733495,19.26246487,26.17902562,0,0,16.78412356,0,0,0,26.17902562,0,0,19.26246487,0,0,0,64.07,0,0,0,0,39.02066887,6.420821623,0,0,5.316788604,11.46733495,0,0,0,3.285555556,10.63106088,0,0,3.374326814,3.709056752,0,1,10,5,3,0,0,0,0,0,0,3,3,3,7,0,0,0,0,-0.3363,44.8295
"N,N'-Bis(3-aminopropyl)-1,4-butanediamine",71-44-3,C(CCNCCCN)CNCCCN,Benchmark,5.377234495,5.377234495,0.785361422,0.785361422,0.345280606,10.71428571,202.346,176.138,202.2157468,86,-0.003689861,-0.330424745,0.330424745,0.003689861,0.571428571,0.928571429,1.285714286,14.86344052,10.26782412,1.88952084,-2.044984187,1.844891905,-2.220778294,4.522495562,0.570167204,2.209692219,2.784765531,86.12278798,10.48528137,9.22576835,9.22576835,6.914213562,5.730710143,5.730710143,3.491563832,3.491563832,2.072461853,2.072461853,1.204124145,1.204124145,-0.16,1347.912253,13.84,12.84,11.84,87.80323582,22.10091216,0,0,0,0,0,0,0,0,0,0,64.95182493,0,0,0,0,0,10.63357721,11.46733495,25.68328649,39.26853844,0,0,22.10091216,0,0,0,39.26853844,0,0,25.68328649,0,0,0,76.1,0,0,0,0,52.11018168,12.84164325,0,0,10.63357721,11.46733495,0,0,0,6.721202129,10.75446899,0,0,4.628861961,5.895466919,0,1,14,6,4,0,0,0,0,0,0,4,4,4,11,0,0,0,0,-0.3566,62.3162
"1,5-Pentanediol",111-29-5,C(CCO)CCO,Benchmark,8.21125,8.21125,0.25,0.25,0.4979883,9.428571429,104.149,92.053,104.0837296,44,0.043053863,-0.396376557,0.396376557,0.043053863,0.714285714,1.142857143,1.428571429,16.25245081,10.24844774,1.812111091,-1.896187566,1.898346726,-1.850251233,4.351664487,0.256554113,1.690933806,2.447472888,25.26112493,5.535533906,4.429961097,4.429961097,3.414213562,2.632455532,2.632455532,1.507873767,1.507873767,0.816227766,0.816227766,0.400383493,0.400383493,-0.08,35.50960993,6.92,5.92,5.92,43.78748699,10.21305479,0,0,0,0,0,0,0,0,0,0,19.26246487,13.21376393,0,10.21305479,0,0,0,0,19.26246487,13.21376393,0,0,0,0,0,0,23.42681872,0,0,19.26246487,0,0,0,40.46,0,0,13.21376393,0,19.26246487,0,0,0,0,10.21305479,0,0,0,16.4225,0,0,0,2.5775,0.5,0,1,7,2,2,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0.1413,28.0226
"1,4-Butanediol",110-63-4,C(CCO)CO,Benchmark,8.08625,8.08625,0.195,0.195,0.469062812,9,90.122,80.042,90.06807956,38,0.043137008,-0.396375038,0.396375038,0.043137008,0.833333333,1.166666667,1.333333333,16.25500966,10.34192939,1.768324594,-1.852909603,1.802227409,-1.849294283,4.300373468,0.242052885,1.614330835,2.339092315,17.509775,4.828427125,3.722854316,3.722854316,2.914213562,2.132455532,2.132455532,1.154320377,1.154320377,0.566227766,0.566227766,0.223606798,0.223606798,-0.08,20.98630086,5.92,4.92,3.92,37.42254488,10.21305479,0,0,0,0,0,0,0,0,0,0,12.84164325,13.21376393,0,10.21305479,0,0,0,0,12.84164325,13.21376393,0,0,0,0,0,0,23.42681872,0,0,12.84164325,0,0,0,40.46,0,0,13.21376393,0,12.84164325,0,0,0,0,10.21305479,0,0,0,16.1725,0,0,0,1.4375,0.39,0,1,6,2,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,-0.2488,23.4056
Bromochloroiodomethane,34970-00-8,C(Cl)(Br)I,Benchmark,5.178024691,5.178024691,0.088055556,0.088055556,0.46020259,15.75,255.28,254.272,253.7994878,26,0.139308529,-0.0987403,0.139308529,0.0987403,2,2,2,126.9127061,11.94504992,1.770864204,-1.699684913,2.110043209,-1.503958099,14.11042923,2.221860014,0.811278124,2.323790008,12.7548875,3.577350269,1.711243688,6.210667465,1.732050808,0.654653671,3.252397199,0.24743583,5.820508834,0,0,0,0,1.5,3.245112498,5.5,2.722222222,9.722222222,52.17190298,0,2.293086672,0,0,0,0,0,0,0,0,50.12175442,0,0,0,0,50.12175442,0,0,0,2.293086672,0,0,0,0,0,0,50.12175442,2.293086672,0,0,0,0,0,0,0,0,0,2.293086672,0,0,0,0,22.59087063,15.9299439,11.60093989,0.088055556,10.22638889,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.3387,32.588
Carbon tetrachloride,56-23-5,C(Cl)(Cl)(Cl)Cl,Benchmark,4.826388889,4.826388889,1.611111111,-1.611111111,0.469795536,12,153.823,153.823,151.8754107,32,0.265685211,-0.066421303,0.265685211,0.066421303,0.8,0.8,0.8,35.62538825,11.84161175,2.10788998,-1.905626072,2.29343692,-1.80603692,6.831492563,1.755507437,0.721928095,3.023715784,19.11941548,4.5,2.011857892,5.035573676,2,0.755928946,2.267786838,0.428571429,3.857142857,0,0,0,0,1.16,3.609640474,6.16,1.741848257,38.29198573,49.95231594,0,0,0,0,3.251717758,0,0,0,0,0,46.40375956,0,0,0,0,46.40375956,0,0,0,3.251717758,0,0,0,0,0,0,46.40375956,3.251717758,0,0,0,0,0,0,0,3.251717758,0,0,0,0,0,0,0,0,46.40375956,-1.611111111,19.30555556,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.5529,26.143
Trichloromethane,67-66-3,C(Cl)(Cl)Cl,Benchmark,4.805555556,4.805555556,0.75,-0.75,0.427859176,9,119.378,118.37,117.9143831,26,0.180106635,-0.087411528,0.180106635,0.087411528,1,1,1,35.58227356,11.88372644,1.784478802,-1.689783694,2.032326292,-1.545926292,6.625347315,1.960652685,0.811278124,2.323790008,8,3.577350269,1.711243688,3.979030526,1.732050808,0.654653671,1.963961012,0.24743583,2.226922467,0,0,0,0,0.87,3.245112498,4.87,2.128397933,13.25948342,39.64904971,0,0,4.295451512,0,0,0,0,0,0,0,34.80281967,0,0,0,0,34.80281967,0,0,0,4.295451512,0,0,0,0,0,0,34.80281967,4.295451512,0,0,0,0,0,0,0,4.295451512,0,0,0,0,0,0,0,0,34.80281967,-0.75,14.41666667,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.9864,21.347
Chlorodiiodomethane,638-73-3,C(Cl)(I)I,Benchmark,5.248024691,5.248024691,0.245555556,0.245555556,0.475987476,9,302.28,301.272,301.7856237,26,0.135753281,-0.099731562,0.135753281,0.099731562,1.5,1.5,1.5,126.9224068,11.95105354,1.769708831,-1.700579187,2.119249174,-1.499382655,14.19730882,2.280800892,0.811278124,2.323790008,10.7548875,3.577350269,1.711243688,6.782169217,1.732050808,0.654653671,3.58235389,0.24743583,7.031237456,0,0,0,0,1.75,3.245112498,5.75,2.960526316,9.260204082,57.5661935,0,1.390549427,0,0,0,0,0,0,0,0,56.78268114,0,0,0,0,56.78268114,0,0,0,1.390549427,0,0,0,0,0,0,56.78268114,1.390549427,0,0,0,0,0,0,0,0,0,1.390549427,0,0,0,0,0,45.18174125,11.60093989,0.245555556,9.438888889,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.3788,37.681
Dichloromethane,75-09-2,C(Cl)Cl,Benchmark,4.763888889,4.763888889,0.194444444,0.194444444,0.389962107,6,84.933,82.917,83.95335542,20,0.09670639,-0.10913233,0.10913233,0.09670639,1.333333333,1.333333333,1.333333333,35.53900508,11.92599492,1.41220442,-1.42363036,1.72667531,-1.23967531,6.402082915,2.204917085,0.918295834,1.632993162,2.754887502,2.707106781,1.463035727,2.974893619,1.414213562,0.534522484,1.603567451,0.101015254,0.90913729,0,0,0,0,0.58,2.754887502,3.58,2.58,2.58,29.34578348,0,0,0,0,0,0,0,0,0,23.20187978,0,0,0,5.339185267,0,23.20187978,0,0,0,0,5.339185267,0,0,0,0,0,23.20187978,5.339185267,0,0,0,0,0,0,0,0,0,5.339185267,0,0,0,0,0,0,23.20187978,0,9.527777778,0,0.194444444,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.4215,16.573
2-(2-Aminoethylamino)ethanol,111-41-1,C(CNCCO)N,Benchmark,8.189566327,8.189566327,0.194444444,0.194444444,0.381452442,9.428571429,104.153,92.057,104.094963,44,0.055544626,-0.395054449,0.395054449,0.055544626,1.428571429,2.142857143,2.571428571,16.25098804,10.58321441,1.76915856,-1.94904854,1.51428126,-2.244466972,4.424106519,0.292883765,1.690933806,2.447472888,28.8707654,5.535533906,4.352990989,4.352990989,3.414213562,2.431582838,2.431582838,1.262281932,1.262281932,0.609694357,0.609694357,0.306119014,0.306119014,-0.12,35.50960993,6.88,5.88,5.88,43.518064,16.15698348,0,0,0,0,0,0,0,0,0,0,0,19.63426922,6.606881965,5.106527395,0,0,5.316788604,5.733667477,0,26.24115118,0,0,11.05045608,0,0,0,31.34767858,0,0,0,0,0,0,58.28,0,0,6.606881965,13.08951281,6.544756406,0,0,0,5.316788604,10.84019487,0,0,0,11.09928855,5.125155896,0,0,0,2.275555556,0,1,7,4,3,0,0,0,0,0,0,3,3,3,4,0,0,0,0,-1.473,29.0099
2-Aminoethanol,141-43-5,C(CO)N,Benchmark,7.75,7.75,0.097222222,0.097222222,0.405578416,7.5,61.084,54.028,61.05276384,26,0.055324581,-0.395062739,0.395062739,0.055324581,1.75,2,2,16.25070839,10.7602813,1.557951613,-1.707224822,1.325375489,-2.015888677,4.171488089,0.306130165,1.370950594,1.974744871,8,3.414213562,2.438777427,2.438777427,1.914213562,1.224476056,1.224476056,0.512281932,0.512281932,0.129099445,0.129099445,0,0,-0.08,6.854752972,3.92,2.92,1.92,25.23831759,10.84019487,0,0,0,0,0,0,0,0,0,0,0,6.544756406,6.606881965,5.106527395,0,0,0,5.733667477,0,13.15163837,0,0,5.733667477,0,0,0,18.25816577,0,0,0,0,0,0,46.25,0,0,6.606881965,6.544756406,0,0,0,0,0,10.84019487,0,0,0,7.75,4.777777778,0,0,0,0.472222222,0,1,4,3,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,-1.0626,16.1402
Triethanolamine,102-71-6,C(CO)N(CCO)CCO,Benchmark,8.485,8.485,0.069444444,0.069444444,0.419530358,10.8,149.19,134.07,149.1051933,62,0.055800924,-0.395044542,0.395044542,0.055800924,0.7,1,1.2,16.25916501,10.44716354,1.996848042,-2.173700746,1.836437093,-2.318098886,4.535488989,0.136139935,1.896259415,3.295082116,55.74860596,7.819990956,6.031495069,6.031495069,4.846065215,3.397366596,3.397366596,2.01246118,2.01246118,1.248683298,1.248683298,0.759674265,0.759674265,-0.16,153.5970127,9.84,6.953122172,4.693790872,60.70649653,15.31958218,0,0,0,0,0,4.899909731,0,0,0,0,0,19.63426922,19.82064589,15.31958218,0,0,4.899909731,0,0,39.45491511,0,0,0,0,0,0,59.67440703,0,0,0,0,0,0,63.93,0,0,19.82064589,19.63426922,0,0,4.899909731,0,0,15.31958218,0,0,1.791666667,25.455,0,0,0,0,1.753333333,0,1,10,3,4,0,0,0,0,0,0,4,3,4,6,0,0,0,0,-1.7347,37.6974
"1,2-Ethanediol",107-21-1,C(CO)O,Benchmark,7.625,7.625,0.125,-0.125,0.407527891,7.5,62.068,56.02,62.03677943,26,0.06622664,-0.393990542,0.393990542,0.06622664,1,1.25,1.25,16.30425825,10.81832367,1.575298676,-1.699066797,1.392607251,-1.84530091,4.062481069,0.185938562,1.370950594,1.974744871,6,3.414213562,2.308640753,2.308640753,1.914213562,1.132455532,1.132455532,0.447213595,0.447213595,0.1,0.1,0,0,-0.08,6.854752972,3.92,2.92,1.92,24.69266065,10.21305479,0,0,0,0,0,0,0,0,0,0,0,0,13.21376393,10.21305479,0,0,0,0,0,13.21376393,0,0,0,0,0,0,23.42681872,0,0,0,0,0,0,40.46,0,0,13.21376393,0,0,0,0,0,0,10.21305479,0,0,0,15.25,0,0,0,0,-0.25,0,1,4,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,-1.029,14.1716
