Compound_name,CAS_number,Canonical_SMILES,n_original_records,ODT_min_mg_L,ODT_max_mg_L,log10_ODT_SD,ODT_geometric_mean_mg_L,Final_pT,Structure_type,Chemical_class
2-Methoxy-3-(2-methylbutyl)pyrazine,115652-10-3,C1(OC)=NC=CN=C1CC(C)CC,1,1.2e-5,1.2e-5,NA,1.2e-5,7.92081875395237,Cyclic,Pyrazine
2-(Phenylthio)-3-propylpyrazine,113685-95-3,C1(SC2=CC=CC=C2)=NC=CN=C1CCC,1,0.009,0.009,NA,0.009,5.04575749056067,Cyclic,Polycyclic
Hexachlorophene,70-30-4,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,1,10,10,NA,10,2,Cyclic,Polycyclic
Pentachlorobenzene,608-93-5,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,1,0.06,0.06,NA,0.06,4.22184874961636,Cyclic,BenzeneDerivatives
"2,4,5-Trichlorophenol",95-95-4,C1=C(C(=CC(=C1Cl)Cl)Cl)O,3,0.111,0.25,0.0704059656563277,0.177,3.75202673363819,Cyclic,BenzeneDerivatives
"2,4,5-Trichlorophenoxyacetic acid",93-76-5,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,1,2.92,2.92,NA,2.92,2.53461714855158,Cyclic,BenzeneDerivatives
"4,5-Dichloro-1,2-dihydroxybenzene",3428-24-8,C1=C(C(=CC(=C1Cl)Cl)O)O,1,3.5,3.5,NA,3.5,2.45593195564972,Cyclic,BenzeneDerivatives
"2,4,6-Trinitrophenol",88-89-1,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],1,4,4,NA,4,2.39794000867204,Cyclic,BenzeneDerivatives
"2,4,6-Tribromophenol",118-79-6,C1=C(C=C(C(=C1Br)O)Br)Br,1,0.0295,0.0295,NA,0.0295,4.53017798402184,Cyclic,BenzeneDerivatives
"2,4,6-Trichloroaniline",634-93-5,C1=C(C=C(C(=C1Cl)N)Cl)Cl,1,0.05,0.05,NA,0.05,4.30102999566398,Cyclic,BenzeneDerivatives
"2,4,6-Trichlorophenol",88-06-2,C1=C(C=C(C(=C1Cl)O)Cl)Cl,3,0.1,0.94,0.486594467924671,0.304,3.51712641639125,Cyclic,BenzeneDerivatives
5-(Hydroxymethyl)furfural,67-47-0,C1=C(OC(=C1)C=O)CO,1,1000,1000,NA,1000,0,Cyclic,Furan
"2,6-Dinitrophenol",573-56-8,C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],1,10,10,NA,10,2,Cyclic,BenzeneDerivatives
"2,6-Dibromophenol",608-33-3,C1=CC(=C(C(=C1)Br)O)Br,1,0.0013,0.0013,NA,0.0013,5.88605664769316,Cyclic,BenzeneDerivatives
"1,2,3-Trichlorobenzene",87-61-6,C1=CC(=C(C(=C1)Cl)Cl)Cl,2,0.01,0.02,0.212860351274558,0.014,4.85387196432176,Cyclic,BenzeneDerivatives
"2,3-Dichlorophenol",576-24-9,C1=CC(=C(C(=C1)Cl)Cl)O,1,0.03,0.03,NA,0.03,4.52287874528034,Cyclic,BenzeneDerivatives
"2,6-Dichlorophenol",87-65-0,C1=CC(=C(C(=C1)Cl)O)Cl,6,0.022,0.05,0.130688527390824,0.039,4.4089353929735,Cyclic,BenzeneDerivatives
"1,2,3-Trihydroxybenzene",87-66-1,C1=CC(=C(C(=C1)O)O)O,1,2,2,NA,2,2.69897000433602,Cyclic,BenzeneDerivatives
"1,2,3,4-Tetrachlorobenzene",634-66-2,C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,1,0.02,0.02,NA,0.02,4.69897000433602,Cyclic,BenzeneDerivatives
"2,3,6-Trichlorophenol",933-75-5,C1=CC(=C(C(=C1Cl)O)Cl)Cl,1,0.3,0.3,NA,0.3,3.52287874528034,Cyclic,BenzeneDerivatives
"2,4-Dinitrophenol",51-28-5,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,1,4,4,NA,4,2.39794000867204,Cyclic,BenzeneDerivatives
2-Chloro-4-nitrophenol,619-08-9,C1=CC(=C(C=C1[N+](=O)[O-])Cl)O,1,5,5,NA,5,2.30102999566398,Cyclic,BenzeneDerivatives
"2,5-Dinitrophenol",329-71-5,C1=CC(=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],1,2.4,2.4,NA,2.4,2.61978875828839,Cyclic,BenzeneDerivatives
4-Chloro-2-nitrophenol,89-64-5,C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,1,0.8,0.8,NA,0.8,3.09691001300806,Cyclic,BenzeneDerivatives
"2,2'-Methylenebis",97-23-4,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,1,0.5,0.5,NA,0.5,3.30102999566398,Cyclic,Polycyclic
"1,2,4-Trichlorobenzene",120-82-1,C1=CC(=C(C=C1Cl)Cl)Cl,2,0.005,0.005,NA,0.005,5.30102999566398,Cyclic,BenzeneDerivatives
