Compound_name,CAS_number,Canonical_SMILES,n_original_records,ODT_min_mg_L,ODT_max_mg_L,log10_ODT_SD,ODT_geometric_mean_mg_L,Final_pT,Structure_type,Chemical_class
Cyclodecanone,1502-06-3,C1CCCCC(=O)CCCC1,3,0.385,0.44,0.0294369893665184,0.414,3.3829996588791,Cyclic,Ketone
11-Oxahexadecalactone,3391-83-1,C1CCCCC(=O)OCCCCCOCCCC1,1,0.019,0.019,NA,0.019,4.72124639904717,Cyclic,Ester
Cycloundecanone,878-13-7,C1CCCCCC(=O)CCCC1,4,0.009,0.12,0.51266611624292,0.047,4.32790214206428,Cyclic,Ketone
Cyclotetradecanone,3603-99-4,C1CCCCCCC(=O)CCCCCC1,1,0.024,0.024,NA,0.024,4.61978875828839,Cyclic,Ketone
Cyclopentadecanone,502-72-7,C1CCCCCCCC(=O)CCCCCC1,1,0.015,0.015,NA,0.015,4.82390874094432,Cyclic,Ketone
Cyclohexadecanone,2550-52-9,C1CCCCCCCC(=O)CCCCCCC1,1,0.0073,0.0073,NA,0.0073,5.13667713987954,Cyclic,Ketone
16-Hydroxyhexadecanoic acid lactone,109-29-5,C1CCCCCCCC(=O)OCCCCCCC1,1,0.0046,0.0046,NA,0.0046,5.33724216831843,Cyclic,Ester
Cycloheptadecanone,3661-77-6,C1CCCCCCCCC(=O)CCCCCCC1,1,0.0043,0.0043,NA,0.0043,5.36653154442041,Cyclic,Ketone
Cyclooctadecanone,6907-37-5,C1CCCCCCCCC(=O)CCCCCCCC1,1,0.023,0.023,NA,0.023,4.63827216398241,Cyclic,Ketone
15-Hydroxypentadecanoic acid lactone,106-02-5,C1CCCCCCCOC(=O)CCCCCC1,10,0.0001,0.00398,0.402747845912249,0.00087,6.06048074738138,Cyclic,Ester
12-Oxahexadecalactone,6707-60-4,C1CCCCCOCCCCOC(=O)CCCC1,1,0.029,0.029,NA,0.029,4.53760200210104,Cyclic,Ester
Azacycloheptane,111-49-9,C1CCCNCC1,1,46.9,46.9,NA,46.9,1.32882715728492,Cyclic,Others
Azacyclooctane,1121-92-2,C1CCCNCCC1,1,82.8,82.8,NA,82.8,1.08196966321512,Cyclic,Others
"1,2,3,4-Tetrahydropyridine",505-18-0,C1CCN=CC1,1,0.302,0.302,NA,0.302,3.51999305704285,Cyclic,Others
Pyrrolidine,123-75-1,C1CCNC1,1,20.2,20.2,NA,20.2,1.69464863055338,Cyclic,Others
Piperidine,110-89-4,C1CCNCC1,2,65.8,70.6,0.0216224820999002,68.16,1.16647041824136,Cyclic,Others
Azetidine,503-29-7,C1CNC1,1,21.9,21.9,NA,21.9,1.65955588515988,Cyclic,Others
"1,2,3,6-Tetrahydropyridine",694-05-3,C1CNCC=C1,1,226,226,NA,226,0.645891560852599,Cyclic,Others
Heliotropine,120-57-0,C1OC2=C(O1)C=C(C=C2)C=O,2,0.062,1,0.853908025373014,0.25,3.60205999132796,Cyclic,Polycyclic
"1,2,4-Trithiolane",289-16-7,C1SCSS1,1,0.00766,0.00766,NA,0.00766,5.1157712303674,Cyclic,Others
2-Methylpropenoic acid,79-41-4,CC(=C)C(=O)O,2,51,51,NA,51,1.29242982390206,Aliphatic,Acid
Methyl 2-methyl-2-propenoate,80-62-6,CC(=C)C(=O)OC,2,0.3588,0.3588,NA,0.3588,3.44514756562795,Aliphatic,Ester
"[1R-(1α,3α,4β)]-4-Ethenyl-α,α,4-trimethyl-3-(1-methylethenyl)cyclohexanemethanol",639-99-6,CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O,3,0.1,0.1,NA,0.1,4,Cyclic,Alcohol
3-Methyl-3-buten-1-ol,763-32-6,CC(=C)CCO,1,0.5471,0.5471,NA,0.5471,3.26193328522253,Aliphatic,Alcohol
3-Methyl-2-butenoic acid,541-47-9,CC(=CC(=O)O)C,1,14,14,NA,14,1.85387196432176,Aliphatic,Acid
(E)-Nerolidol,372965-99-6,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,1,0.25,0.25,NA,0.25,3.60205999132796,Aliphatic,Alcohol
"(E)-3,7-Dimethyl-1,3,6-octatriene",3779-61-1,CC(=CCC=C(C)C=C)C,1,0.034,0.034,NA,0.034,4.46852108295774,Aliphatic,Hydrocarbon
"7-Methyl-3-methylene-1,6-octadiene",123-35-3,CC(=CCCC(=C)C=C)C,5,0.014,0.099,0.355381495111152,0.032,4.49485002168009,Aliphatic,Hydrocarbon
"(E,E)-2,6-Dimethyl-10-methylene-2,6,11-dodecatrienal",3779-62-2,CC(=CCCC(=C)C=C)CCC=C(C)C=O,4,0.0038,0.082,0.482132129124036,0.015,4.82390874094432,Aliphatic,Aldehyde
"3,7,11-Trimethyl-2,6,10-dodecatrien-1-ol",4602-84-0,CC(=CCCC(=CCCC(=CCO)C)C)C,4,0.11,1,0.479303657420888,0.19,3.72124639904717,Aliphatic,Alcohol
"3,7-Dimethyl-(E)-2,6-octadien-1-ol",106-24-1,CC(=CCCC(=CCO)C)C,1,0.1,0.1,NA,0.1,4,Aliphatic,Alcohol
"3,7-Dimethyl-(E)-2,6-octadien-1-yl acetate",105-87-3,CC(=CCCC(=CCOC(=O)C)C)C,1,0.036,0.036,NA,0.036,4.44369749923271,Aliphatic,Ester
Linalool,78-70-6,CC(=CCCC(C)(C=C)O)C,1,0.822,0.822,NA,0.822,3.08512818245995,Aliphatic,Alcohol
3-Methyl-2-buten-1-ol,556-82-1,CC(=CCO)C,8,0.14,7.75,0.751668312074374,3.05,2.51570016065321,Aliphatic,Alcohol
2-(Prenylthio)ethanal,,CC(=CCSCC=O)C,1,5e-5,5e-5,NA,5e-5,7.30102999566398,Aliphatic,Aldehyde
Propanone,67-64-1,CC(=O)C,5,140,500,0.23513020166019,237,0.625251653989896,Aliphatic,Ketone
"2,2-Dimethyl-3-butanone",75-97-8,CC(=O)C(C)(C)C,1,0.6,0.6,NA,0.6,3.22184874961636,Aliphatic,Ketone
"2',3',4'-Trihydroxyacetophenone",528-21-2,CC(=O)C1=C(C(=C(C=C1)O)O)O,1,2,2,NA,2,2.69897000433602,Cyclic,BenzeneDerivatives
"4-Acetyl-6-tert-butyl-1,1-dimethylindane",13171-00-1,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,1,0.005,0.005,NA,0.005,5.30102999566398,Cyclic,Polycyclic
1-(4-Hydroxy-3-methoxyphenyl)ethanone,498-02-2,CC(=O)C1=CC(=C(C=C1)O)OC,1,0.78,0.78,NA,0.78,3.10790539730952,Cyclic,BenzeneDerivatives
4'-Hydroxyacetophenone,99-93-4,CC(=O)C1=CC=C(C=C1)O,1,5.5,5.5,NA,5.5,2.25963731050576,Cyclic,BenzeneDerivatives
Acetophenone,98-86-2,CC(=O)C1=CC=CC=C1,7,0.036,0.065,0.102136158705873,0.0388,4.41116827440579,Cyclic,BenzeneDerivatives
2-Acetylpyridine,1122-62-9,CC(=O)C1=CC=CC=N1,1,0.019,0.019,NA,0.019,4.72124639904717,Cyclic,Others
2-Acetylpyrrole,1072-83-9,CC(=O)C1=CC=CN1,11,58.59,170,0.216092042181847,127.14,0.895717792905562,Cyclic,Others
2-Acetylfuran,1192-62-7,CC(=O)C1=CC=CO1,10,10,15.0252,0.0854123009041715,11.3,1.94692155651658,Cyclic,Furan
"2-Acetyl-1,4,5,6-tetrahydropyridine",25343-57-1,CC(=O)C1=CCCCN1,1,0.0015,0.0015,NA,0.0015,5.82390874094432,Cyclic,Others
"5-Acetyl-2,3-dihydro-1,4-thiazine",164524-93-0,CC(=O)C1=CSCCN1,4,0.0006,0.001475,0.195320384965269,0.00118,5.92811799269387,Cyclic,Others
Acetylpyrazine,22047-25-2,CC(=O)C1=NC=CN=C1,1,0.61,0.61,NA,0.61,3.21467016498923,Cyclic,Pyrazine
2-Acetylthiazole,24295-03-2,CC(=O)C1=NC=CS1,1,0.01,0.01,NA,0.01,5,Cyclic,Thiazole
2-Acetyl-1-pyrroline,85213-22-5,CC(=O)C1=NCCC1,23,5.3e-5,0.001,0.35438562607004,0.00013,6.88605664769316,Cyclic,Others
2-Acetyltetrahydropyridine,27300-27-2,CC(=O)C1=NCCCC1,8,0.001,0.002,0.100832948064702,0.00141,5.85078088734462,Cyclic,Others
2-Acetyl-2-thiazoline,29926-41-8,CC(=O)C1=NCCS1,3,0.001,0.001,NA,0.001,6,Cyclic,Thiazole
"4,4-Dimethyl-2-pentanone",590-50-1,CC(=O)CC(C)(C)C,1,0.02405,0.02405,NA,0.02405,4.61888491929015,Aliphatic,Ketone
4-Hydroxy-4-methyl-2-pentanone,123-42-2,CC(=O)CC(C)(C)O,2,44.12,100,0.25128064507848,66.42,1.17770112873763,Aliphatic,Ketone
2-Mercapto-2-methyl-4-pentanone,19872-52-7,CC(=O)CC(C)(C)S,1,7.5e-7,7.5e-7,NA,7.5e-7,9.1249387366083,Aliphatic,Ketone
1-Hydroxy-2-propanone,116-09-6,CC(=O)CO,5,10,100,0.432320340967807,59,1.22914798835786,Aliphatic,Ketone
Acetic acid,64-19-7,CC(=O)O,31,25.59,550,0.431929137948962,66.66,1.17613469067549,Aliphatic,Acid
Methyl acetate,79-20-9,CC(=O)OC,1,12.126,12.126,NA,12.126,1.91628243610105,Aliphatic,Ester
tert-Butyl acetate,540-88-5,CC(=O)OC(C)(C)C,2,0.081,0.43,0.512640704339161,0.19,3.72124639904717,Aliphatic,Ester
Bornyl acetate,76-49-3,CC(=O)OC1CC2CCC1(C2(C)C)C,1,0.009,0.009,NA,0.009,5.04575749056067,Cyclic,Polycyclic
Cyclopentyl acetate,933-05-1,CC(=O)OC1CCCC1,1,0.021,0.021,NA,0.021,4.67778070526608,Cyclic,Ester
"2,2-Dimethylpropyl acetate",926-41-0,CC(=O)OCC(C)(C)C,1,0.004,0.004,NA,0.004,5.39794000867204,Aliphatic,Ester
Benzyl acetate,140-11-4,CC(=O)OCC1=CC=CC=C1,5,0.27,0.364,0.0566687806006691,0.29,3.53760200210104,Cyclic,BenzeneDerivatives
2-Phenylethyl acetate,103-45-7,CC(=O)OCCC1=CC=CC=C1,7,0.019,0.48,0.612072453622587,0.045,4.34678748622466,Cyclic,BenzeneDerivatives
3-(Methylthio)propyl acetate,16630-55-0,CC(=O)OCCCSC,1,0.03,0.03,NA,0.03,4.52287874528034,Aliphatic,Ester
3-Hydroxy-2-butanone,513-86-0,CC(C(=O)C)O,5,0.8,8,0.360515204472194,2.98,2.52578373592374,Aliphatic,Ketone
3-Mercapto-2-butanone,40789-98-8,CC(C(=O)C)S,1,0.003,0.003,NA,0.003,5.52287874528034,Aliphatic,Ketone
"2,2-Dichloropropanoic acid",75-99-0,CC(C(=O)O)(Cl)Cl,1,23.2,23.2,NA,23.2,1.6345120151091,Aliphatic,Acid
"2-(2,4,5-Trichlorophenoxy)propanoic acid",93-72-1,CC(C(=O)O)OC1=CC(=C(C=C1Cl)Cl)Cl,1,0.78,0.78,NA,0.78,3.10790539730952,Cyclic,BenzeneDerivatives
"3,3-Dimethyl-2-butanol",464-07-3,CC(C(C)(C)C)O,2,2.85,6.2,0.238681652100217,4.2,2.3767507096021,Aliphatic,Alcohol
"2,2-Dimethylpropanoic acid",75-98-9,CC(C)(C)C(=O)O,3,5.25,50,0.493708368472507,14.9,1.82681373158773,Aliphatic,Acid
"Methyl 2,2-dimethylpropanoate",598-98-1,CC(C)(C)C(=O)OC,1,0.028,0.028,NA,0.028,4.55284196865778,Aliphatic,Ester
"2-tert-Butyl-4,6-dinitrophenol",1420-07-1,CC(C)(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,1,0.5,0.5,NA,0.5,3.30102999566398,Cyclic,Others
3-tert-Butyl-4-hydroxyanisole,121-00-6,CC(C)(C)C1=C(C=CC(=C1)OC)O,1,3,3,NA,3,2.52287874528034,Cyclic,BenzeneDerivatives
"2,4-Di-tert-butylphenol",96-76-4,CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,1,0.5,0.5,NA,0.5,3.30102999566398,Cyclic,BenzeneDerivatives
"4-tert-Butyl-1,2-dihydroxybenzene",98-29-3,CC(C)(C)C1=CC(=C(C=C1)O)O,1,1,1,NA,1,3,Cyclic,BenzeneDerivatives
"1,3-Di-tert-butyl-4,6-dihydroxbenzene",5374-06-1,CC(C)(C)C1=CC(=C(C=C1O)O)C(C)(C)C,1,0.3,0.3,NA,0.3,3.52287874528034,Cyclic,BenzeneDerivatives
4-tert-Butylphenol,98-54-4,CC(C)(C)C1=CC=C(C=C1)O,1,0.8,0.8,NA,0.8,3.09691001300806,Cyclic,BenzeneDerivatives
2-sec-Butylcyclohexanone,1728-46-7,CC(C)(C)C1CCCCC1=O,1,0.26,0.26,NA,0.26,3.58502665202918,Cyclic,Ketone
2-tert-Butylcyclohexanol,13491-79-7,CC(C)(C)C1CCCCC1O,1,0.182,0.182,NA,0.182,3.73992861201493,Cyclic,Alcohol
"3,3-Dimethylbutanoic acid",1070-83-3,CC(C)(C)CC(=O)O,1,2.71,2.71,NA,2.71,2.56703070912559,Aliphatic,Acid
"4-(1,1,3,3-Tetramethylbutyl)phenol",140-66-9,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O,1,2.7,2.7,NA,2.7,2.56863623584101,Cyclic,BenzeneDerivatives
"2,2-Dimethyl-1-propanol",75-84-3,CC(C)(C)CO,1,1.66,1.66,NA,1.66,2.77989191195994,Aliphatic,Alcohol
2-Methyl-3-buten-2-ol,115-18-4,CC(C)(C=C)O,1,50.57,50.57,NA,50.57,1.29610704636746,Aliphatic,Alcohol
3-Mercapto-3-methylbutan-1-ol,34300-94-2,CC(C)(CCO)S,3,0.0013,0.004,0.281814272934782,0.0028,5.55284196865778,Aliphatic,Sulfur-containing
1-Methoxy-3-methyl-3-butanethiol,94087-83-9,CC(C)(CCOC)S,1,5.1e-7,5.1e-7,NA,5.1e-7,9.29242982390206,Aliphatic,Sulfur-containing
3-Mercapto-3-methylbutyl formate,50746-10-6,CC(C)(CCOC=O)S,4,3e-6,3.5e-6,0.0334733948153065,3.36768410368517e-6,8.47266865305738,Aliphatic,Ester
2-Nitropropane,79-46-9,CC(C)[N+](=O)[O-],2,22,24.9,0.0380258453916191,23.41,1.63059858630338,Aliphatic,Others
3-Methyl-2-butanone,563-80-4,CC(C)C(=O)C,2,1.005,1.67,0.155952690073899,1.3,2.88605664769316,Aliphatic,Ketone
"2,4-Dimethyl-3-pentanone",565-80-0,CC(C)C(=O)C(C)C,1,0.0266,0.0266,NA,0.0266,4.57511836336893,Aliphatic,Ketone
2-Methylpropanoic acid,79-31-2,CC(C)C(=O)O,5,5.3,16,0.181103838168566,8.14,2.0893755951108,Aliphatic,Acid
Methyl 2-methylpropanoate,547-63-7,CC(C)C(=O)OC,4,0.00655,0.007,0.0144283700112369,0.007,5.15490195998574,Aliphatic,Ester
"2,4-Dimethyl-3-pentanol",600-36-2,CC(C)C(C(C)C)O,1,0.251,0.251,NA,0.251,3.60032627851896,Aliphatic,Alcohol
"2,3-Dimethylbutanoic acid",14287-61-7,CC(C)C(C)C(=O)O,1,6.9,6.9,NA,6.9,2.16115090926274,Aliphatic,Acid
"2,3-Dimethyl-1-butanol",54206-54-1,CC(C)C(C)CO,1,1.665,1.665,NA,1.665,2.77858576215766,Aliphatic,Alcohol
3-Methyl-2-butanol,598-75-4,CC(C)C(C)O,1,0.615,0.615,NA,0.615,3.21112488422458,Aliphatic,Alcohol
"1,2-Dimethylpropyl acetate",5343-96-4,CC(C)C(C)OC(=O)C,1,0.006,0.006,NA,0.006,5.22184874961636,Aliphatic,Ester
2-Methyl-1-nitropropane,625-74-1,CC(C)C[N+](=O)[O-],1,5,5,NA,5,2.30102999566398,Aliphatic,Others
2-Isopropylphenol,88-69-7,CC(C)C1=CC=CC=C1O,1,1,1,NA,1,3,Cyclic,BenzeneDerivatives
Isopropylpyrazine,29460-90-0,CC(C)C1=NC=CN=C1,1,0.1,0.1,NA,0.1,4,Cyclic,Pyrazine
2-Methoxy-6-isopropylpyrazine,93905-03-4,CC(C)C1=NC=CN=C1OC,3,2e-6,2.4e-5,0.556891759169289,5.76899828122963e-6,8.23889959043215,Cyclic,Pyrazine
2-Isopropyl-3-(methylthio)pyrazine,67952-59-4,CC(C)C1=NC=CN=C1SC,1,4.7e-5,4.7e-5,NA,4.7e-5,7.32790214206428,Cyclic,Pyrazine
1-Isopropyl-4-methylenebicyclo[3.1.0]hexane,3387-41-5,CC(C)C12CCC(=C)C1C2,8,0.037,0.98,0.550633553560868,0.1305,3.8843894883257,Cyclic,Polycyclic
"8-Isopropenyl-5,6-dimethylbicyclo[4.4.0]-3-decanone",1803-39-0,CC(C)C1CCC2(CCCC(=O)C2(C1)C)C,1,0.05,0.05,NA,0.05,4.30102999566398,Cyclic,Polycyclic
Isobutyl cyanide,625-28-5,CC(C)CC#N,6,0.21,1,0.276702814234269,0.771,3.11294562194904,Aliphatic,Nitrogen-containing
4-Methyl-2-pentanone,108-10-1,CC(C)CC(=O)C,1,0.04514,0.04514,NA,0.04514,4.34543844525826,Aliphatic,Ketone
3-Methylbutanoic acid,503-74-2,CC(C)CC(=O)O,1,3.91,3.91,NA,3.91,2.40782324260413,Aliphatic,Acid
Methyl 3-methylbutanoate,556-24-1,CC(C)CC(=O)OC,1,0.0242,0.0242,NA,0.0242,4.61618463401957,Aliphatic,Ester
"2,5-Dimethyl-3-hexanol",19550-07-3,CC(C)CC(C(C)C)O,1,1.05,1.05,NA,1.05,2.97881070093006,Aliphatic,Alcohol
"2,2,4-Trimethyl-1-pentanol",123-44-4,CC(C)CC(C)(C)CO,1,0.62,0.62,NA,0.62,3.20760831050175,Aliphatic,Alcohol
"2,4-Dimethyl-2-pentanol",625-06-9,CC(C)CC(C)(C)O,1,3.25,3.25,NA,3.25,2.48811663902113,Aliphatic,Alcohol
"2,4-Dimethyl-1-pentanol",6305-71-1,CC(C)CC(C)CO,1,0.32,0.32,NA,0.32,3.49485002168009,Aliphatic,Alcohol
4-Methyl-2-pentanol,108-11-2,CC(C)CC(C)O,1,3.3,3.3,NA,3.3,2.48148606012211,Aliphatic,Alcohol
"2,6-Dimethyl-4-heptanol",108-82-7,CC(C)CC(CC(C)C)O,1,1.3,1.3,NA,1.3,2.88605664769316,Aliphatic,Alcohol
1-Nitro-3-methylbutane,627-67-8,CC(C)CC[N+](=O)[O-],1,0.15,0.15,NA,0.15,3.82390874094432,Aliphatic,Others
3-Methylbutanal,590-86-3,CC(C)CC=O,1,0.585,0.585,NA,0.585,3.23284413391782,Aliphatic,Aldehyde
3-Isobutyl-2-methoxypyridine,35243-42-6,CC(C)CC1=C(N=CC=C1)OC,1,0.011,0.011,NA,0.011,4.95860731484177,Cyclic,Others
2-Isobutyl-3-methoxypyrazine,24683-00-9,CC(C)CC1=NC=CN=C1OC,22,1e-6,4.5e-5,0.489635401007725,3.6696151057065e-6,8.43537948513041,Cyclic,Pyrazine
2-Isobutylthiazole,18640-74-9,CC(C)CC1=NC=CS1,11,0.0035,0.029,0.371482757027037,0.0051,5.29242982390206,Cyclic,Thiazole
4-Methylpentanoic acid,646-07-1,CC(C)CCC(=O)O,1,0.81,0.81,NA,0.81,3.09151498112135,Aliphatic,Acid
"2,5-Dimethyl-2-hexanol",3730-60-7,CC(C)CCC(C)(C)O,1,1.45,1.45,NA,1.45,2.83863199776503,Aliphatic,Alcohol
5-Methyl-2-hexanol,627-59-8,CC(C)CCC(C)O,1,0.49,0.49,NA,0.49,3.30980391997149,Aliphatic,Alcohol
2-Isopentyl-3-methoxypyrazine,32737-13-6,CC(C)CCC1=NC=CN=C1OC,1,6.3e-6,6.3e-6,NA,6.3e-6,8.20065945054642,Cyclic,Pyrazine
6-Methyl-2-heptanone,928-68-7,CC(C)CCCC(=O)C,1,0.01605,0.01605,NA,0.01605,4.79452496325911,Aliphatic,Ketone
5-Methylhexanoic acid,628-46-6,CC(C)CCCC(=O)O,1,15.8,15.8,NA,15.8,1.80134291304558,Aliphatic,Acid
"1-Hydroxy-3,7,11,15-tetramethyl-2-hexadecene",150-86-7,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,1,0.64,0.64,NA,0.64,3.19382002601611,Aliphatic,Alcohol
6-Methyl-2-heptanol,4730-22-7,CC(C)CCCC(C)O,1,0.4,0.4,NA,0.4,3.39794000867204,Aliphatic,Alcohol
2-Isohexyl-3-methoxypyrazine,68844-95-1,CC(C)CCCC1=NC=CN=C1OC,1,6e-6,6e-6,NA,6e-6,8.22184874961636,Cyclic,Pyrazine
"Isooctyl 2,4-dichlorophenoxyacetate",25168-26-7,CC(C)CCCCCOC(=O)COC1=C(C=C(C=C1)Cl)Cl,1,0.12,0.12,NA,0.12,3.92081875395238,Cyclic,BenzeneDerivatives
5-Methyl-1-hexanol,627-98-5,CC(C)CCCCO,1,0.495,0.495,NA,0.495,3.30539480106643,Aliphatic,Alcohol
4-Methyl-1-pentanol,626-89-1,CC(C)CCCO,1,2.46,2.46,NA,2.46,2.60906489289662,Aliphatic,Alcohol
3-Methyl-1-butanol,123-51-3,CC(C)CCO,8,0.22,3.06,0.461740505112368,0.871,3.05998184499234,Aliphatic,Alcohol
Isoamyl acetate,123-92-2,CC(C)CCOC(=O)C,1,0.005,0.005,NA,0.005,5.30102999566398,Aliphatic,Ester
Isopentyl 2-methylpropanoate,2050-01-3,CC(C)CCOC(=O)C(C)C,1,0.02585,0.02585,NA,0.02585,4.58753945257004,Aliphatic,Ester
Isoamyl isovalerate,659-70-1,CC(C)CCOC(=O)CC(C)C,1,0.0199,0.0199,NA,0.0199,4.70114692359029,Aliphatic,Ester
Potassium isopentyl xanthate,928-70-1,CC(C)CCOC(=S)[S-].[K+],1,0.005,0.005,NA,0.005,5.30102999566398,Aliphatic,Ester
2-(Isopentylthio)ethanal,,CC(C)CCSCC=O,1,0.0003,0.0003,NA,0.0003,6.52287874528034,Aliphatic,Aldehyde
2-Methyl-1-propanol,78-83-1,CC(C)CO,14,0.36,200,0.843258917174946,7.77,2.10957898119909,Aliphatic,Alcohol
2-Methylpropyl acetate,110-19-0,CC(C)COC(=O)C,7,0.0025,0.0065,0.156845182778665,0.0029,5.53760200210104,Aliphatic,Ester
Potassium isobutyl xanthate,13001-46-2,CC(C)COC(=S)[S-].[K+],1,0.005,0.005,NA,0.005,5.30102999566398,Aliphatic,Ester
2-(Isobutylthio)ethanal,,CC(C)CSCC=O,1,8e-5,8e-5,NA,8e-5,7.09691001300806,Aliphatic,Aldehyde
Isopropylamine,75-31-0,CC(C)N,1,5,5,NA,5,2.30102999566398,Aliphatic,Nitrogen-containing
2-Propanol,67-63-0,CC(C)O,2,8.5,9.7879,0.0433248552860435,9.12,2.04000516167158,Aliphatic,Alcohol
2-Propyl acetate,108-21-4,CC(C)OC(=O)C,5,1.99,8,0.248085932361155,3.054,2.5151309672796,Aliphatic,Ester
"Isopropyl 2,4-dichlorophenoxyacetate",94-11-1,CC(C)OC(=O)COC1=C(C=C(C=C1)Cl)Cl,3,0.02905,0.25,0.469993099552514,0.08,4.09691001300806,Cyclic,BenzeneDerivatives
2-(Isopropylthio)ethanal,,CC(C)SCC=O,1,0.0005,0.0005,NA,0.0005,6.30102999566398,Aliphatic,Aldehyde
1-Phenylethanol,98-85-1,CC(C1=CC=CC=C1)O,3,0.479,1.45,0.244460506174777,0.786,3.10457745396059,Cyclic,BenzeneDerivatives
1-Phenylethyl acetate,93-92-5,CC(C1=CC=CC=C1)OC(=O)C,1,0.16,0.16,NA,0.16,3.79588001734407,Cyclic,BenzeneDerivatives
4-Mercapto-4-methylpentan-2-ol,31539-84-1,CC(CC(C)(C)S)O,1,2e-5,2e-5,NA,2e-5,7.69897000433602,Aliphatic,Sulfur-containing
"2,4-Pentanediol",625-69-4,CC(CC(C)O)O,1,19.3,19.3,NA,19.3,1.71444269099223,Aliphatic,Alcohol
3-(Methylthio)butanal,16630-52-7,CC(CC=O)SC,1,0.0025,0.0025,NA,0.0025,5.60205999132796,Aliphatic,Aldehyde
"2,5-Hexanediol",2935-44-6,CC(CCC(C)O)O,1,33.5,33.5,NA,33.5,1.47495519296315,Aliphatic,Alcohol
"2,6-Dimethyl-5-heptenal",106-72-9,CC(CCC=C(C)C)C=O,1,0.016,0.016,NA,0.016,4.79588001734407,Aliphatic,Aldehyde
"3,7-Dimethyl-6-octenal",106-23-0,CC(CCC=C(C)C)CC=O,4,0.031,0.1,0.217307711934762,0.055,4.25963731050576,Aliphatic,Aldehyde
"3,7-Dimethyl-6-octen-1-ol",106-22-9,CC(CCC=C(C)C)CCO,9,0.0106,2.2,0.845494366678752,0.69,3.16115090926274,Aliphatic,Alcohol
"3,7-Dimethyl-1,7-octanediol",107-74-4,CC(CCCC(C)(C)O)CCO,1,5,5,NA,5,2.30102999566398,Aliphatic,Alcohol
"1,5-Hexanediol",928-40-5,CC(CCCCO)O,1,5.335,5.335,NA,5.335,2.27286557623951,Aliphatic,Alcohol
"1,4-Pentanediol",626-95-9,CC(CCCO)O,1,29.45,29.45,NA,29.45,1.53091470087688,Aliphatic,Alcohol
"1,2-Dichloropropane",78-87-5,CC(CCl)Cl,1,0.19,0.19,NA,0.19,3.72124639904717,Aliphatic,Hydrocarbon
"1,3-Butanediol",107-88-0,CC(CCO)O,1,15,15,NA,15,1.82390874094432,Aliphatic,Alcohol
"1,1,1-Trichloroethane",71-55-6,CC(Cl)(Cl)Cl,1,10.235,10.235,NA,10.235,1.98991215300148,Aliphatic,Hydrocarbon
1-Amino-2-propanol,78-96-6,CC(CN)O,1,28,28,NA,28,1.55284196865778,Aliphatic,Nitrogen-containing
Diisopropanolamine,110-97-4,CC(CNCC(C)O)O,1,10,10,NA,10,2,Aliphatic,Nitrogen-containing
3-Mercapto-2-methyl-1-butanol,227456-33-9,CC(CO)C(C)S,1,0.00023,0.00023,NA,0.00023,6.63827216398241,Aliphatic,Sulfur-containing
2-Methyl-3-buten-1-ol,4516-90-9,CC(CO)C=C,1,1.1,1.1,NA,1.1,2.95860731484177,Aliphatic,Alcohol
3-Mercapto-2-methylpropanol,56160-79-3,CC(CO)CS,1,0.003,0.003,NA,0.003,5.52287874528034,Aliphatic,Sulfur-containing
"1,2-Propanediol",57-55-6,CC(CO)O,1,340,340,NA,340,0.468521082957745,Aliphatic,Alcohol
"4,8-Dioxa-1-nonanol",34590-94-8,CC(COC(C)COC)O,1,40,40,NA,40,1.39794000867204,Aliphatic,Others
1-Methoxy-2-propanol,107-98-2,CC(COC)O,1,4,4,NA,4,2.39794000867204,Aliphatic,Others
"4-Oxa-2,6-heptanediol",110-98-5,CC(COCC(C)O)O,1,240,240,NA,240,0.619788758288394,Aliphatic,Alcohol
(E)-2-Methyl-2-pentenal,,CC/C=C(\C)/C=O,1,0.25,0.25,NA,0.25,3.60205999132796,Aliphatic,Aldehyde
"(Z,Z)-3,6-Nonadien-1-ol",53406-97-2,CC/C=C\C/C=C\CCO,1,0.01,0.01,NA,0.01,5,Aliphatic,Alcohol
5-Hydroxy-(Z)-7-decenoic acid lactone,25524-95-2,CC/C=C\CC1CCCC(=O)O1,1,2,2,NA,2,2.69897000433602,Cyclic,Others
"Methyl (2R,3S)-2-hydroxy-3-methylpentanoate",,CC[C@H](C)[C@H](C(=O)OC)O,1,0.013,0.89,NA,0.013,4.88605664769316,Aliphatic,Ester
2-Methyl-2-butenal,1115-11-3,CC=C(C)C=O,1,0.5,0.5,NA,0.5,3.30102999566398,Aliphatic,Aldehyde
3-Penten-2-one,625-33-2,CC=CC(=O)C,1,0.6,0.6,NA,0.6,3.22184874961636,Aliphatic,Ketone
β-Damascenone,23696-85-7,CC=CC(=O)C1=C(C=CCC1(C)C)C,1,0.0044,0.0044,NA,0.0044,5.35654732351381,Cyclic,Ketone
